date;employee_title;employee_status;review_title;pros;cons
2021-10-22;Business Development Manager;Current Employee, more than 8 years;Great company to work for;"Work life balance, total compensation
";"Process stifles progress. Uncertain future strategy.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Business Analyst;Current Employee;Great company;"A lot of room for growth
";"Don't have any cons at the moment.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-17;Cashier;Former Employee, less than 1 year;i loved it here;"you are never alone here
";"some customers are very rude' but thats anywhere you go
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Rotational Analyst;Current Employee;Great Compensation;"Compensation
Benefits
Work life balance
4/80 schedule
I entered 5 words
";"Bureaucracy
Slow to change
Hard to find information sometimes
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-12;Account Manager;Former Employee, less than 1 year;organizer;"was fun, organized, clean, nice
";"was tiring, alot to do, and was time consuming
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-10;Geologist;Current Employee, more than 5 years;Shell is one of the best O&G companies to work for;"you get treated like a person, challenging projects, career advancement opportunities
";"big corporation with some red tape
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Anonymous;Former Employee;Great company;"Great exposure to huge complex projects
Good pay
Great culture
";"Have base country concepts, means move around globally become more difficult
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-23;Production Operator;Current Employee, more than 8 years;Great place to work;"Great pay and benefits. Safety and people are top notch
";"This plant is being sold
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-08;Senior OLM;Current Employee;Excellent Company;"They care on people and their benefits are great.
";"None which I can think
Advice to Management
Continue your care.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Exploration Geologist;Former Employee, more than 10 years;Getting the best from your managers;"Global expertise in the energy industry
";"Sometimes has to operate in difficult political climate
Advice to Management
Go one step below in organizational evaluations to receive honest assessment about your managers
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Cashier;Former Employee, less than 1 year;Shelly is amazing;"Best boss ever, and good co workers
";"Lots of transient individuals passing through
Advice to Management
Need 2 person on nights more than 1st and 2nds for pure safety reasons
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Marine Compliance Manager SSQE;Current Employee;shel;"very gud company ever worked
";"Nothing bad here all gud
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Geoscience Technician;Current Employee;good company to work for;"Care about safety, Care for employees, good benefits
";"Subject to the same ups and downs as any O & G company
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-19;Process Operator;Former Employee;Good place to have experience;"Good benefits and good work practices
";"bad management and low pay
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-17;Reliability Engineer;Current Employee, more than 5 years;Good Company but difficult market;"Work life balance and benefits
";"The current market is tough in oil and gas
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Engineer;Current Employee, more than 8 years;It's okay but gone downhill over the years;"Benefits, pay, company moving to environmentally better business.
";"Middle management is poor at their job. The don't walk the talk on DEI. They hire diverse but do not promote. They say they care about their people, but treat them the opposite.
Advice to Management
Please listen to your CEO when it comes to treating your people and DEI. Moral is at an all time low. A lot of people are resigning.
1 person found this review helpful
Helpful
Share
Repor"
2021-10-16;Cashier;Former Employee;Alright;"You get to practice your communication skills.
";"having to cover a lot of shifts that others miss.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Senior Software Engineer;Current Employee, more than 1 year;Amazing Workplace;"Great work-life balance. Great pay. Amazing benefits.
";"Bureaucratic. Often takes a lot of time to do things or change things. Can be frustrating when you want to move fast.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-15;Senior Project Manager;Former Employee, more than 10 years;Good Place to Work;"clever people, respectful, nice environment
";"frequent re-organizations, dual messages from top management
Advice to Management
Make it simple. Communicate better
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Gas Station Attendant;Current Employee, less than 1 year;Review;"Not a difficult job and great work environment
";"Busy work environment resulting in short breaks in between .
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Manager;Former Employee;Good;"Good place to work, convenient, flexible.
";"Rude customers, long hours, low pay.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Web Developer;Current Employee, more than 3 years;I develop and design any website;"Be yourself always no matter where and when
";"Be wise and also be proud of what you can do
Advice to Management
Always be proud of what you are and never look down on anyone
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-11;Software Engineer;Former Employee, more than 1 year;Experience at Shell;"work-life balance, managers are good and friendly
";"difficult to change role or team
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Sales Associate/Cashier;Current Employee, more than 1 year;overall nice place to work;"adjustable schedule for part-time work
";"not really competitive pay like
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Director;Former Employee, more than 8 years;Shell is awesome;"People are fantastic, respect new ideas and care about work/life balance
";"Decision making was slow sometimes
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Cashier;Current Employee, more than 1 year;jstyj;"good 
easy 
simple 
cool
fast nice
";"cust service
rude people 
hella packed sometimes
Advice to Management
dont be so strict
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-06;Cashier;Current Employee;Eh.. It’s a job;"Easy and repetitive something you get used to
";"Customer employment and most of all try their best to pay you as little as possible
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Operator;Current Employee;Solid;"Great work place. Good money
";"None of the top of my head
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-05;Human Resources Consultant;Former Employee, more than 3 years;Great place to work if you make it through all the change.;;"ltant in Houston, TX
Recommend
CEO Approval
Business Outlook
Pros
People are smart, hard working, and care deeply about the impact of the company.
Cons
Rapid changes and devaluing of the HR organization leading to massive cuts.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Cashier;Former Employee, more than 1 year;ok job;"The customers are pretty good.
";"working at night and on the holidays. That kind of sucks when a family has a gathering and I have to go to work.
Advice to Management
Just pay more
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Process Operator;Current Employee;Operator;"Excellent Benefits, Excellent Pay, Committed to Safety Culture
";"None Really
Can be a bit slow to change
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Senior Petrophysicist;Former Employee, more than 10 years;Shell experiences;"decent salary and benefit
care for people
";"complicated process and some bureaucracy
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-17;Grocery Stocker;Former Employee, less than 1 year;flexibly;"it is a very simple time and manage time.
";"it is boring and low paid
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;Anonymous;Current Employee, more than 5 years;Bad place to work;"Good work life balance and pay
";"No path to career success and golden handcuff effect
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-30;Engineering Analyst;Former Employee;Used to be a decent company, recently taken over by the Woke.;"Benefits, Salary, Senior Leaders, and Facilities. Like most Oil and Gas companies, Shell pays well and has good benefits.
";"Woke Ideology, HR, Middle Management, and Graduate Program. HR is not straightforward with Graduate hires in terms of career progression and expectations. Too much focus on Woke ideology and conformity in the workplace.
Advice to Management
Focus more on the business/making money and less on ideology. Leaders should make the business a priority instead of wasting time mandating CRT policies that divide the coworkers.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Anonymous;Current Employee;Best thing in life;"Can sleep until noon or later in the afternoon
";"no money to do anything
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-12;Senior Wells Engineer;Current Employee;Good place to work;"excellent colleagues, work ethics, safety
";"uncertainty because of oil prices just like any other oil major
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-26;Anonymous;Former Employee, more than 5 years;Good Company;"Great company , team , decent pay .
";"Office Politics , no room to grow .
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-24;Operations Team Lead;Former Employee, more than 10 years;Decent company;"Good benefits and salary, plus yearly bonus
";"Not much work life family balance
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Senior Analyst;Former Employee, more than 5 years;Best Company to Work For;"Work Life Balance, Pay Structure
";"I don't have any Cons
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Business Analyst;Current Employee, more than 8 years;Great Company to work for;"Great Culture and people to work with , depends on the department also, it is a huuuuuge company
";"big company , you can go unnnoticed
Be the first to find this review helpful
Helpful
Share
Repor"
