ID,Initial_ID,text,insurance,safety,balance,retirement,culture,racism,sexism,ageism,benefits,opportunities,privacy,resources
5145,743,Work life balance,0,0,1,0,0,0,0,0,0,0,0,0
5134,732,Many opportunities off program to explore different areas/fields. Huge amount of experience in 2 years.. ,0,0,0,0,0,0,0,0,0,1,0,0
5132,730,Flexible Leadership is strong Challenging Learning Opportunities Volunteer Events. ,0,0,1,0,0,0,0,0,0,1,0,0
5126,724,Collaborative culture,0,0,0,0,1,0,0,0,0,0,0,0
5123,721,Culture Work ethics technology quality experts. ,0,0,0,0,1,0,0,0,0,0,0,0
5117,715,There are good career advancement opportunities. ,0,0,0,0,0,0,0,0,0,1,0,0
5106,704,great company and lots of opportunity. ,0,0,0,0,0,0,0,0,0,1,0,0
5103,701,Loved working in teams and collaborations.. ,0,0,0,0,1,0,0,0,0,0,0,0
5101,699,Good pay. Good opportunities for advancement.. ,0,0,0,0,0,0,0,0,1,1,0,0
5099,697,Great learning opportunities about different processes. ,0,0,0,0,0,0,0,0,0,1,0,0
5082,680,Flexible hours with opportunity for growth. ,0,0,1,0,0,0,0,0,0,1,0,0
5155,753,Compensation & Benefits,0,0,0,0,0,0,0,0,1,0,0,0
5079,677,Resources and benefits were good. ,0,0,0,0,0,0,0,0,1,0,0,1
5073,671,Access to leadership -Rotational (upwards learning curve) -Good work life balance.,0,0,1,0,0,0,0,0,0,1,0,0
5072,670,Overall,0,0,0,0,0,0,0,0,0,0,0,0
5070,668,I had a lot of responsibility and leadership positions. ,0,0,0,0,0,0,0,0,0,1,0,0
5068,666,Great leadership,0,0,0,0,0,0,0,0,0,0,0,0
5066,664,Good culture,0,0,0,0,1,0,0,0,0,0,0,0
5065,663,Great place to grow your career. ,0,0,0,0,0,0,0,0,0,1,0,0
5064,662,Global engagement,0,0,0,0,0,0,0,0,0,0,0,0
5062,660,Availability for multiple career opportunities - Availability to travel - Exposure to senior leadership.,0,0,0,0,0,0,0,0,1,1,0,0
5051,649,This is a company where leaders truly care about your career and goals. It's never hard to find a mentor or C-level leader to spend time with. If you are able to deliver upon your goals,0,0,0,0,1,0,0,0,0,1,0,0
5050,648,Diverse,0,0,0,0,0,0,0,0,0,0,0,0
5150,748,Good Health Care Benefits,1,0,0,0,0,0,0,0,0,0,0,0
5157,755,Opportunities to learn and work with global teams. Fast paced,0,0,0,0,1,0,0,0,0,1,0,0
4831,429,Work life balance GE culture Competitive benefits. ,0,0,1,0,1,0,0,0,1,0,0,0
